Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
27,"Kennesaw , GA",Auburn,,2 Seasons,,Adams, Darvin
58,"Monroe , LA",Northwestern State-Louisiana,,1 Season,,Oatis, Victor
31,"Abilene , TX",Texas Christian,,3 Seasons,,Roach, David
72,"San Francisco , CA",USC,,5 Seasons,,Taylor, Mike
,"St. Louis , MO",USC,,2 Seasons,,George, Ray
75,"Fresno , CA",Notre Dame,,12 Seasons,,Lamonica, Daryle
72,"Eagle Lake , TX",Prairie View A&M,,3 Seasons,,Aldridge, Allen
34,"New Vienna , IA",South Dakota,,0 Season,,Hagemann, Nick
50,"Dothan , AL",Alabama State,,7 Seasons,,Baxter, Brad
67,"Alexandria , VA",West Chester,,2 Seasons,,Kersey, Merritt
31,"Sioux Falls , SD",South Dakota State,,1 Season,,Harris, JaRon
76,"San Antonio , TX",Texas State,,2 Seasons,,Dickey, Wallace
46,"Pine Bluff , AR",Arkansas,,2 Seasons,,Ireland, Darwin
42,Guyana,Hofstra,,11 Seasons,,Schulters, Lance
35,"Plano , TX",Clemson,,2 Seasons,,Leake, John
29,"Honolulu , HI",Hawaii,,4 Seasons,,Pilares, Kealoha
75,"Canton , OH",Nebraska-Omaha,,4 Seasons,,Allen, Jerry
32,,Marshall,,1 Season,,Devine, Derek
33,,Southern Mississippi,,2 Seasons,,Eubanks, John
35,"Texas City , TX",New Mexico,,3 Seasons,,Terrell, Claude
37,"Artesia , CA",Arizona State,,2 Seasons,,Scott, Travis
,"Bruca , Sicily",Muhlenberg,,1 Season,,Gorgone, Pete
79,"Wise , VA",Virginia Tech,,14 Seasons,,Dale, Carroll
58,"Salt Lake City , UT",Arizona State,,4 Seasons,,Padjen, Gary
68,"Panama City , FL",Florida,,13 Seasons,,James, John
,"Chino , CA",Florida State,,1 Season,,Mankins, Jim
,"Cumberland , WI",Minnesota,,2 Seasons,,Alfonse, Julie
,"Bristol , VA",Tennessee,,7 Seasons,,Feathers, Beattie
86,"Omaha , NE",Washington State,,2 Seasons,,Bailey, Byron
71,"Galveston , TX",Colorado,,3 Seasons,,Harris, Billy
67,"Wareham , MA",Massachusetts,,1 Season,,Pena, Bubba
29,"Sacramento , CA",Arizona,,3 Seasons,,Reed, D'Aundre
20,"Cedar Grove , NJ",Miami (Fla.),Cleveland Browns,Rookie,TE,Njoku, David
27,"Greensboro , NC",Wake Forest,,1 Season,,Okoro, Kenny
,,Houston,Miami Dolphins,Rookie,DE,Malveaux, Cameron
34,"Granger , IN",Notre Dame,,1 Season,,Fitzpatrick, D.J.
22,"Miami , FL",Alabama,Oakland Raiders,3rd season,WR,Cooper, Amari
88,"Oakland , CA",San Francisco State,,1 Season,,Endress, Al
,"Minneapolis , MN",Cincinnati,,10 Seasons,,Lee, Jacky
62,"Cleveland , OH",Virginia,,4 Seasons,,Choma, John
53,"Gladys , VA",James Madison,,13 Seasons,,Haley, Charles
37,"Tallahassee , FL",Central Florida,,6 Seasons,,Gaines, Michael
22,"Pittsburg , CA",Washington,Indianapolis Colts,Rookie,TE,Daniels, Darrell
38,"Longview , TX",Stephen F. Austin St.,,1 Season,,Pate, Wes
27,"Delray Beach , FL",Kansas State,Minnesota Vikings,6th season,LB,Lamur, Emmanuel
,,New Haven,Buffalo Bills,Rookie,OG,Voytek, Zach
48,,Appalachian State,,1 Season,,Dandridge, Gary
58,"Miami , FL",Oklahoma,,1 Season,,Reilly, Mike
44,,Troy,,1 Season,,Gilliard, Darnell
38,"Whittier , CA",Michigan State,,3 Seasons,,Peko, Tupe
27,"Meriden , CT",Georgia,Chicago Bears,5th season,DT,Jenkins, John
47,"Sarasota , FL",Penn State,,2 Seasons,,Daniels, David
55,"Newton Square , PA",Pittsburgh,,10 Seasons,,Maas, Bill
26,"Bartow , FL",Florida Atlantic,Tampa Bay Buccaneers,4th season,OLB,Glanton, Adarius
41,"Los Angeles , CA",West Texas A&M,,2 Seasons,,Larrimore, Kareem
41,"Clawson , MI",Michigan,,12 Seasons,,Jansen, Jon
40,"Apopka , FL",Marshall,,5 Seasons,,Beckett, Rogers
59,"Evergreen Park , IL",Michigan,,6 Seasons,,Lilja, George
,"New York , NY",Boston College,,1 Season,,Harrison, Ed
32,"Fresno , CA",Houston,,3 Seasons,,Hannah, Rodney
32,"Tampa , FL",Pittsburgh,,1 Season,,Lee, Greg
32,"Enid , OK",Baker,New York Jets,8th season,LS,Purdum, Tanner
,"Riverhead , NY",No College,,3 Seasons,,Wegert, Ted
,American Samoa,San Jose State,,5 Seasons,,Faumuina, Wilson
68,"Honolulu , HI",Washington,,2 Seasons,,Lee, Ken
26,"Del City , OK",Oklahoma,Tennessee Titans,4th season,DB,Hurst, Demontre
23,,North Carolina-Charlotte,Green Bay Packers,Rookie,RB,Phillips, Kalif
,,Texas Southern,Houston Texans,Rookie,P,Carter, Cory
82,"Toledo , OH",Indiana,,1 Season,,Amstutz, Joe
61,"Euclid , OH",Kentucky,,1 Season,,Fowler, Dan
,"Durham , NC",North Carolina Central,,5 Seasons,,Barnes, Ernie
78,"Webster City , IA",Wyoming,,5 Seasons,,Lamson, Chuck
,"Springfield , MA",Michigan State,,10 Seasons,,O'Brien, Fran
32,"Luling , LA",West Virginia,,7 Seasons,,Reynaud, Darius
,Haibuehl Germany,Northwestern,,1 Season,,Aschenbrenner, Frank
91,"New York , NY",Notre Dame,,3 Seasons,,O'Connor, Bill
62,"Montgomery , AL",Iowa State,,1 Season,,Young, Randy
59,"Gloster , MS",Mississippi,,3 Seasons,,Perry, Leon
77,"Bradford , PA",Penn State,,9 Seasons,,Barber, Stew
,"Fall River , MA",Providence,,1 Season,,DaGata, Fred
31,,South Florida,,0 Season,,Watson, Theodric
70,"Houston , TX",Texas A&M,,6 Seasons,,Maxwell, Tommy
51,"Bellingham , WA",Oregon,,12 Seasons,,Newman, Anthony
26,"Harrisburg , PA",Penn State,Detroit Lions,5th season,DT,Hill, Jordan
25,"Independence , MO",Arizona,Cincinnati Bengals,4th season,OLB,Flowers, Marquis
,"Mount Clemenms , MI",Auburn,,4 Seasons,,Nugent, Dan
36,"Milwaukie , OR",Notre Dame,,10 Seasons,,Faine, Jeff
33,"Shreveport , LA",Tennessee,,6 Seasons,,Wade, Jonathan
,,No College,,1 Season,,Killiher, Lyons
,"Saginaw , MI",Washington-St. Louis,,1 Season,,Scheib, Skippy
,"Elmira , NY",Kalamazoo,,1 Season,,Casteel, Mike
,"Swoyersville , PA",Pittsburgh,,8 Seasons,,Paluck, John
29,"Wilson , NC",East Carolina,,1 Season,,Allen, Sean
,"Rockville , IN",Wabash,,2 Seasons,,Caldwell, Knute
,"Pittsburgh , PA",Maryland,,9 Seasons,,Nolan, Dick
25,,Houston,Arizona Cardinals,Rookie,P,Leone, Richie
36,,Western Illinois,,0 Season,,Archer, Phil
25,"Winnipeg , Manitoba",Penn State,Baltimore Ravens,4th season,OG,Urschel, John
25,"Charlotte , NC",South Carolina,,1 Season,,Hampton, Victor
38,"Mobile , AL",Tennessee,,3 Seasons,,Martin, Tee
,"Brooklyn , NY",Princeton,,2 Seasons,,MacPhee, Waddy
25,,Missouri,,1 Season,,Franklin, James
30,"Amarillo , TX",Missouri,Washington Redskins,9th season,NT,Hood, Ziggy
57,"Los Angeles , CA",USC,,12 Seasons,,Foster, Roy
50,"Brooklyn , NY",USC,,4 Seasons,,Jackson, John
,"Omaha , NE",Creighton,,1 Season,,Cemore, Tony
77,"Fredericksburg , VA",Tennessee,,8 Seasons,,Beard, Ed
27,"Jersey City , NJ",Temple,Detroit Lions,6th season,MLB,Whitehead, Tahir
39,"Harris Co. , TX",Texas Christian,,9 Seasons,,Schobel, Aaron
56,"Freeport , TX",Baylor,,11 Seasons,,Mack, Cedric
63,"Redding , CA",Oregon State,,7 Seasons,,Nairne, Rob
50,"Los Angeles , CA",UCLA,,13 Seasons,,Patton, Marvcus
,"Houston , TX",Rice,,4 Seasons,,Weatherly, Bones
,"Laverty , OK",Texas Tech,,6 Seasons,,Rankin, Walt
,,Grove City,,5 Seasons,,Gibson, Butch
87,"Vinton , LA",North Texas,,1 Season,,Bahnsen, Ken
,"Bethayres , PA",No College,,1 Season,,Reagen, Ed
67,"Anaheim , CA",Long Beach State,,1 Season,,Fassel, Jim
38,"Hyannis , MA",Baylor,,4 Seasons,,Jerman, Greg
32,,Georgia,,1 Season,,Johnson, Kelin
22,"Marrero , LA",Mississippi State,Cincinnati Bengals,1st season,DE,Brown, Ryan
,"Auburn , NY",Miami (Fla.),,1 Season,,Shakespeare, Stanley
25,"New York , NY",Syracuse,New York Giants,4th season,DT,Bromley, Jay
,"Dayton , OH",Dayton,,4 Seasons,,Mahrt, Al
27,"Clairton , PA",Pittsburgh,,4 Seasons,,Nix, Lucas
92,"Youngstown , OH",Purdue,,2 Seasons,,Papach, George
24,Nairobi Kenya,Boise State,Seattle Seahawks,2nd season,OG,Odhiambo, Rees
29,"San Clemente , CA",Colorado State,,1 Season,,Martinez, Adrian
22,"Sioux Falls , SD",Nebraska,Philadelphia Eagles,Rookie,SAF,Gerry, Nate
22,"Dallas , TX",East Carolina,Buffalo Bills,Rookie,WR,Jones, Zay
44,"Tucson , AZ",Arizona State,,7 Seasons,,Bates, Mario
75,"Dallas , TX",Arizona State,,13 Seasons,,Taylor, Charley
52,"Columbia , SC",Southern University,,8 Seasons,,Perry, Gerald
,"Miami , FL",Alabama,,11 Seasons,,Thomas, Derrick
51,"Detroit , MI",Eastern Illinois,,2 Seasons,,Banks, Roy
59,"Butte , MT",Wyoming,,2 Seasons,,Ogrin, Pat
22,,Wake Forest,New York Giants,Rookie,DT,Banks, Josh
,"Neptune , NJ",Southern Mississippi,,4 Seasons,,Vetrano, Joe
,"Detroit , MI",Eastern Michigan,,2 Seasons,,Opalewski, Ed
39,"East Orange , NJ",East Carolina,,12 Seasons,,Garrard, David
35,"Nashville , TN",Auburn,,2 Seasons,,Wallace, Cooper
59,"Staunton , IL",Western Illinois,,2 Seasons,,Carpenter, Steve
23,"Claremont , CA",Washington,Detroit Lions,2nd season,RB,Washington, Dwayne
,"Minden , LA",Arizona,,6 Seasons,,Thompson, Bobby
25,"Inglewood , CA",Sacramento State,Denver Broncos,4th season,ILB,Davis, Todd
22,,Georgia,Baltimore Ravens,Rookie,C,Kublanow, Brandon
32,"Los Angeles , CA",Baylor,,3 Seasons,,Bell, Josh
30,"Port Allen , LA",Indiana,Chicago Bears,10th season,CB,Porter, Tracy
33,,California,,0 Season,,O'Keith, Marcus
,"Tilden , NE",Kentucky,,1 Season,,Lindahl, Joe
51,St. Lazaire France,Fresno State,,1 Season,,Franklin, Jethro
30,"Goldsboro , NC",Miami (Fla.),Seattle Seahawks,8th season,TE,Graham, Jimmy
,"Coal City , IN",Notre Dame,,2 Seasons,,Wallace, John
26,Liberia,Marshall,Arizona Cardinals,Rookie,LB,Bazzie, Alex
70,"Terrell , TX",Texas-El Paso,,12 Seasons,,West, Charlie
56,"Jacksonville , FL",Maine,,4 Seasons,,Pickering, Clay
23,"Portsmouth , VA",Globe Tech NY (J.C.),Buffalo Bills,1st season,DB,Powell, Joe
30,,Maryland,,1 Season,,Goode, Jason
,"Salt Lake City , UT",Utah,,7 Seasons,,Gehrke, Fred
,"Torrington , CT",Connecticut,,1 Season,,Radzevich, Vic
43,"Phoenix , AZ",Brigham Young,,1 Season,,Johnson, Dustin
54,"Houston , TX",Johnson C. Smith,,1 Season,,Davis, Kelvin
,"Dunbar , NE",Nebraska,,4 Seasons,,Francis, Sam
65,"Orangeburg , SC",Morgan State,,5 Seasons,,Hammond, Bobby
63,"Logan , UT",Brigham Young,,1 Season,,Olsen, Orrin
45,"Appleton , WI",Wisconsin,,4 Seasons,,Verstegen, Mike
,"Lawrence , KS",Kansas,,1 Season,,Schick, Doyle
37,"Roselle , IL",Northern Illinois,,11 Seasons,,Diem, Ryan
57,"Pascagoula , MS",Pittsburgh,,2 Seasons,,Thomas, Lynn
41,"Atlanta , GA",North Carolina,,14 Seasons,,Saturday, Jeff
30,"Summerville , SC",Central Florida,,2 Seasons,,Rashad, Sha'reff
51,"Bryan , TX",Sam Houston State,,8 Seasons,,Harris, Odie
46,"Brooklyn , NY",Miami (Fla.),,2 Seasons,,Bass, Robert
,"Chicago , IL",Mississippi,,2 Seasons,,Reynolds, Bill
55,"Alpena , MI",Nebraska,,1 Season,,Behning, Mark
60,"Mansfield , OH",Cornell,,1 Season,,Talton, Ken
,,Boise State,Buffalo Bills,Rookie,LB,Vallejo, Tanner
51,"Casa Grande , AZ",New Mexico Highlands,,10 Seasons,,Edwards, Anthony
34,"Naperville , IL",Stanford,,3 Seasons,,Oshinowo, Baba
32,"Sarasota , FL",Miami (Fla.),,7 Seasons,,Atkins, Baraka
30,"Fort Lauderdale , FL",Georgia,,1 Season,,Owens, Jeff
28,"Brooksville , FL",Troy,San Francisco 49ers,4th season,RB,Harris, DuJuan
71,"Portland , OR",Portland State,,2 Seasons,,Oberg, Tom
61,"New Orleans , LA",Grambling State,,2 Seasons,,Parker, Kerry
31,"Los Angeles , CA",Mississippi,,7 Seasons,,Palmer, Ashlee
35,"Oklahoma City , OK",Oklahoma State,Houston Texans,14th season,DE,Smith, Antonio
22,,Idaho,Jacksonville Jaguars,Rookie,DT,Lupeamanu, Tueni
32,"Brooklyn , NY",Rutgers,,6 Seasons,,Westerman, Jamaal
23,"Forest City , NC",Clemson,Houston Texans,Rookie,DT,Watkins, Carlos
36,"San Diego , CA",Washington,,2 Seasons,,Ware, Kevin
,"Orange Co. , CA",Alabama,,4 Seasons,,Perrin, Benny
52,"Baltimore , MD",North Carolina State,,1 Season,,Leach, Bill
45,"Ventura , CA",Cal Poly-S.L.O.,,6 Seasons,,Thomas, Chris
35,"Tallahassee , FL",Cincinnati,,1 Season,,Enzor, Jamar
29,"Mountain View , CA",Fresno State,,6 Seasons,,Ajirotutu, Seyi
65,"Alcoa , TN",Carson-Newman,,2 Seasons,,George, Tim
23,"Kailua , HI",UCLA,Houston Texans,2nd season,K,Fairbairn, Ka'imi
,"Chicago , IL",Washington,,1 Season,,Markov, Vic
52,"Hawarden , IA",Iowa State,,1 Season,,Jasper, Vince
,,,,,,Pepper, null
29,"Fort Thomas , KY",Ohio U.,Pittsburgh Steelers,9th season,FS,Mitchell, Mike
22,,Florida Atlantic,New Orleans Saints,Rookie,DE,Hendrickson, Trey
,"Greenville , SC",Furman,,3 Seasons,,Wham, Tom
44,"Camden , SC",Penn State,,15 Seasons,,Engram, Bobby
,"Union City , CT",Holy Cross,,1 Season,,Digris, Bernie
69,"Baltimore , MD",Penn State,,2 Seasons,,Pittman, Charlie
74,"Greenville , MS",Ball State,,1 Season,,Todd, Jim
48,"Mamou , LA",Baylor,,1 Season,,Frank, Malcolm
67,"Lynn , MA",Holy Cross,,6 Seasons,,Adams, Bill
24,,Washington,Atlanta Falcons,1st season,WR,Hall, Marvin
52,"Junction City , KS",Illinois,,10 Seasons,,Dennis, Mark
,"Oberon , ND",Minnesota,,3 Seasons,,Garnaas, Bill
85,,California,,2 Seasons,,Larson, Paul
39,"College Park , GA",Georgia,,8 Seasons,,Jennings, Jonas
22,"Atlanta , GA",Purdue,Green Bay Packers,Rookie,WR,Yancey, DeAngelo
34,"Houston , TX",LSU,,6 Seasons,,Addai, Joseph
25,"Houston , TX",Alabama,New England Patriots,2nd season,WR,White, DeAndrew
52,"Nashville , TN",Tennessee State,,3 Seasons,,Pillow, Frank
64,"Grady , AR",Amherst,,10 Seasons,,Scott, Freddie
24,"Poughkeepsie , NY",Boston College,Los Angeles Chargers,3rd season,RB,Williams, Andre
35,,Akron,,1 Season,,Cherry, Matt
70,"Teaneck , NJ",Syracuse,,8 Seasons,,Thoms, Art
,"Kayford , WV",Charleston (WV),,1 Season,,Thacker, Al
65,"Independence , LA",Grambling State,,3 Seasons,,Dennis, Al
50,"West Point , MS",Mississippi State,,4 Seasons,,Anderson, Jesse
,"Ambridge , PA",St. Mary's (CA),,2 Seasons,,Dennerlein, Jerry
47,"Indianapolis , IN",Vanderbilt,,12 Seasons,,Harris, Corey
76,"Mount Vernon , TX",Baylor,,1 Season,,Maples, Butch
44,"Montgomery , AL",Alabama State,,8 Seasons,,Barlow, Reggie
73,"Selma , AL",Tennessee State,,8 Seasons,,Edwards, Cid
38,"Houston , TX",Oregon State,,1 Season,,Carroll, Terrence
50,"Detroit , MI",Michigan,,7 Seasons,,Abrams, Bobby
,"St. Louis , MO",Southern Mississippi,,7 Seasons,,Owens, Don
29,,Nevada,,1 Season,,Thompson, Antoine
46,"Sarasota , FL",Georgia,,1 Season,,Yancy, Carlos
29,"Philadelphia , PA",Rutgers,,4 Seasons,,D'Imperio, Ryan
,"St. Clairsville , OH",Miami (Ohio),,3 Seasons,,Chorovich, Dick
36,"Perry , GA",Auburn,,6 Seasons,,Thomas, Dontarrious
61,"Chicago , IL",Northern Illinois,,1 Season,,Petway, David
23,"Plainfield , NJ",Rutgers,Miami Dolphins,2nd season,WR,Carroo, Leonte
31,"Cambridge , MA",Louisville,Houston Texans,10th season,T,Giacomini, Breno
58,"Atlanta , TX",Texas Christian,,8 Seasons,,Epps, Phil
25,"Orange Co. , CA",USC,,2 Seasons,,Uko, George
31,"Savannah , GA",Tennessee State,,4 Seasons,,Newton, Cecil
25,"Chicago , IL",Northern Illinois,Los Angeles Chargers,1st season,WR,Brown, Da'Ron
53,"Pittsburgh , PA",Slippery Rock,,2 Seasons,,Sanders, Chuck
29,,Minnesota,,3 Seasons,,Weber, Adam
39,"Mobile , AL",Alabama,,10 Seasons,,Samuels, Chris
22,"Alpharetta , GA",Tennessee,Pittsburgh Steelers,Rookie,QB,Dobbs, Joshua
34,"Ortonville , MI",Michigan,,2 Seasons,,Lentz, Matt
77,"Seattle , WA",Washington State,,7 Seasons,,Erlandson, Tom
77,"Durham , NC",North Carolina Central,,2 Seasons,,McAdams, Bob
27,"Memphis , TN",Mississippi State,Seattle Seahawks,7th season,OLB,Wright, K.J.
34,"Greenfield , WI",Princeton,,3 Seasons,,Dekker, Jon
,"Chicago , IL",Notre Dame,,4 Seasons,,Lind, Mike
34,"Tustin , CA",Oklahoma,Atlanta Falcons,12th season,OG,Chester, Chris
32,"Lexington , KY",Kentucky,Atlanta Falcons,10th season,TE,Tamme, Jacob
28,"Minneapolis , MN",South Dakota,Chicago Bears,5th season,T,Compton, Tom
,"Pontiac , MI",Olivet,,1 Season,,Watson, Ernest
,,Fresno State,,3 Seasons,,Garner, Bob
22,,Temple,Houston Texans,Rookie,LB,Williams, Avery
,,North Carolina State,,0 Season,,Allen, Zach
49,,Tennessee,,1 Season,,Davis, Harlan
26,,West Alabama,Miami Dolphins,Rookie,LB,Lacey, Deon
29,"Euclid , OH",Ohio State,,4 Seasons,,Gibson, Thaddeus
33,"Virginia Beach , VA",Virginia Tech,,0 Season,,Pace, Brandon
,"Philadelphia , PA",Pennsylvania,,5 Seasons,,Bell, Eddie
,"Grand Island , NE",Nebraska,,3 Seasons,,Kahler, Bob
58,"Newark , NJ",Maryland,,3 Seasons,,Nehemiah, Renaldo
32,"Miami , FL",North Carolina State,Philadelphia Eagles,12th season,OLB,Tulloch, Stephen
,,No College,,1 Season,,Lewis, Bill
23,"Los Angeles , CA",USC,Cleveland Browns,4th season,C,Martin, Marcus
68,"Pittsburgh , PA",Arizona State,,4 Seasons,,Thomas, Bob
35,"Tulsa , OK",Oklahoma,,6 Seasons,,Lehman, Teddy
27,,Boise State,,1 Season,,Tjong-A-Tjoe, Ricky
73,"Alhambra , CA",San Diego State,,3 Seasons,,Carroll, Leo
42,"Lubbock , TX",Texas Tech,,2 Seasons,,Lethridge, Zebbie
23,"Auburn , AL",Alabama,San Francisco 49ers,Rookie,LB,Foster, Reuben
,"Colton , OH",Mount Union,,1 Season,,Fleming, Wilmer
,"Houston , TX",Rice,,2 Seasons,,Scruggs, Ted
72,"Pasadena , CA",California,,7 Seasons,,Beasley, John
24,"Miami , FL",Florida,Washington Redskins,3rd season,CB,Dunbar, Quinton
,"Richmond , VA",Virginia State,,1 Season,,Whaley, Ben
45,,Northwestern,,1 Season,,Senters, Mike
31,"Bradenton , FL",Tennessee State,New York Giants,10th season,CB,Rodgers-Cromartie, Dominique
,"Minneapolis , MN",Minnesota,,3 Seasons,,Nydall, Mally
,"Dodgeville , WI",Wis.-Platteville,,3 Seasons,,Perkins, Don
42,"Attalla , AL",Alabama,,1 Season,,Malone, Toderick
45,"Inkster , MI",Michigan,,10 Seasons,,Wheatley, Tyrone
25,,Boston College,,1 Season,,Divitto, Steele
28,,Texas,,2 Seasons,,Chiles, John
38,Nigeria,Wyoming,,8 Seasons,,Chukwurah, Patrick
,"Philadelphia , PA",Georgia,,3 Seasons,,Rauch, John
44,"St. Louis , MO",San Diego State,,9 Seasons,,Scott, Darnay
53,"Huntsville , AL",Georgia Tech,,1 Season,,Malone, Ralph
41,"Des Moines , IA",Stanford,,2 Seasons,,Haskins, Jon
65,"Pensacola , FL",New Mexico State,,1 Season,,Bachman, Ted
45,"Natchez , MS",Mississippi State,,1 Season,,Carroll, Herman
40,"Pahokee , FL",Michigan State,,3 Seasons,,Newkirk, Robert
53,"Stockton , CA",Stanford,,1 Season,,Harris, Walter
79,"Moss Point , MS",Mississippi,,3 Seasons,,Khayat, Bob
22,"St. Petersburg , FL",Florida,Jacksonville Jaguars,3rd season,DE,Fowler, Dante
57,"Barberton , OH",Syracuse,,3 Seasons,,Gissinger, Andrew
27,"Escondido , CA",Colorado,,1 Season,,Hansen, Tyler
43,"Detroit , MI",Notre Dame,,3 Seasons,,Chryplewicz, Pete
,"Duluth , MN",Columbia,,2 Seasons,,Harris, Ken
45,,Oregon State,,2 Seasons,,Kalaniuvalu, Alai
44,"El Paso , TX",Pittsburgh,,6 Seasons,,Davis, Billy
,"Dover , OH",Baldwin-Wallace,,1 Season,,Cardinal, Fred
49,"Milwaukee , WI",Northern Michigan,,10 Seasons,,Maddox, Mark
,Syria,Georgetown,,1 Season,,Jawish, Heinie
29,"Colorado Springs , CO",Colorado,New Orleans Saints,8th season,LS,Drescher, Justin
53,"Hartford , CT",Notre Dame,,23 Seasons,,Carney, John
26,"Clinton , MD",Virginia,Philadelphia Eagles,6th season,FS,McLeod, Rodney
,"Gibsonburg , OH",Ohio State,,1 Season,,Wendler, Jack
29,,Central Washington,,1 Season,,Lewis, Armahd
36,"Houston , TX",Texas,,2 Seasons,,Babers, Rod
46,"Cherry Hill , NJ",Boston College,,6 Seasons,,Foley, Glenn
49,"Dallas , TX",Iowa,,9 Seasons,,Hanks, Merton
74,"Oklahoma City , OK",Rice,,1 Season,,Wayt, Russell
70,"Hanover , PA",Catawba,,1 Season,,Koontz, Ed
27,"Charleston , WV",Charleston (WV),,1 Season,,Roberts, Jordan
,"Beatrice , NE",Oregon State,,1 Season,,Ossowski, Ted
52,,California-Santa Barbara,,1 Season,,Marks, Steve
28,"Gulfport , MS",Belhaven College,San Francisco 49ers,8th season,CB,Brock, Tramaine
44,Nuku'alofa Tonga,Idaho,,8 Seasons,,Folau, Spencer
29,"Royal Oak , MI",Eastern Michigan,Detroit Lions,9th season,OG,Lang, T.J.
30,"Columbia , SC",Clemson,,5 Seasons,,Sapp, Ricky
36,"West , TX",Tennessee,,11 Seasons,,Wells, Scott
51,"Miami , FL",Louisville,,14 Seasons,,Armstrong, Bruce
26,"Yazoo City , MS",Mississippi State,Philadelphia Eagles,6th season,DT,Cox, Fletcher
48,"Clarksville , TX",Oklahoma,,4 Seasons,,Dillard, Stacey
52,"San Mateo , CA",San Jose State,,1 Season,,Kennedy, Sam
57,"Evanston , IL",East Tennessee State,,2 Seasons,,Parker, Steve
61,"Baton Rouge , LA",Southeastern Louisiana,,3 Seasons,,Belton, Horace
,"Durant , OK",Oklahoma,,4 Seasons,,Lahar, Hal
33,,Texas State,,1 Season,,Gill, Robert
41,"Bristol , PA",Kansas State,,11 Seasons,,Weiner, Todd
25,,North Carolina A&T,,2 Seasons,,Isles, Nate
41,"Gainesville , FL",Florida,,7 Seasons,,Jackson, Terry
,Rainy River Canada,Minnesota,,9 Seasons,,Nagurski, Bronko
56,"Ames , IA",Oregon,,4 Seasons,,Baack, Steve
38,,No College,,0 Season,,Yancy, Richard
28,"Nashua , NH",Northern Colorado,,1 Season,,Barbiasz, Lee
39,"Houston , TX",Western Illinois,,1 Season,,Waddell, Reggie
,"New Orleans , LA",Tulane,,1 Season,,Darre, Bernie
33,"Chicago , IL",Western Illinois,,1 Season,,Thomas, Marco
,"Goshen , IN",Kalamazoo,,2 Seasons,,Fausch, Frank
,"St. Louis , MO",Cornell,,1 Season,,Ebersole, Hal
64,"Laurel , MD",Maryland,,4 Seasons,,Carter, Louis
21,"Sarasota , FL",South Florida,Indianapolis Colts,Rookie,RB,Mack, Marlon
45,"Brockton , MA",Clemson,,2 Seasons,,Harris, Rudy
24,"Gastonia , NC",East Carolina,Carolina Panthers,Rookie,LB,Bigger, Zeek
31,"Redwood City , CA",Kent State,New England Patriots,9th season,WR,Edelman, Julian
60,"Belleville , IL",Notre Dame,,5 Seasons,,Lisch, Rusty
,"Minneapolis , MN",Minnesota,,1 Season,,Christiansen, Marty
55,"Quakertown , PA",Pittsburgh,,4 Seasons,,Lewis, Tim
,"Philadelphia , PA",North Carolina State,,5 Seasons,,Christy, Dick
,"Honolulu , HI",Oregon State,,2 Seasons,,Francis, Joe
26,"Rock Hill , SC",South Carolina,New England Patriots,6th season,CB,Gilmore, Stephon
38,"Tampa , FL",West Virginia,,2 Seasons,,Harris, Kay-Jay
43,"St. John , IN",Nebraska,,6 Seasons,,Tomich, Jared
22,,California,Tennessee Titans,Rookie,RB,Muhammad, Khalfani
,"Milwaukee , WI",Notre Dame,,4 Seasons,,Nadolney, Peaches
46,"San Rafael , CA",Washington State,,3 Seasons,,Carolan, Brett
53,"San Leandro , CA",Brigham Young,,2 Seasons,,Bellini, Mark
94,", KS",Tennessee-Chattanooga,,4 Seasons,,Roberts, Choo-Choo
,"Marshall , TX",Howard Payne,,16 Seasons,,Young, Bob
72,"Green Bay , WI",Miami (Fla.),,3 Seasons,,Daanen, Jerry
24,Germany,Vanderbilt,Indianapolis Colts,2nd season,DB,Williamson, Andrew
63,"Hamilton , OH",Georgia,,1 Season,,Reid, Andy
30,"Brooklyn Park , MN",South Dakota,,2 Seasons,,Quaye, Ko
22,,Eastern Michigan,Indianapolis Colts,Rookie,OT,Wylie, Andrew
30,"Tulsa , OK",Nebraska,,3 Seasons,,Dillard, Phillip
51,"Brooklyn , NY",Columbia,,1 Season,,Chirico, John
93,"Lono , AR",Arkansas,,2 Seasons,,Pipkin, Joyce
25,"Spokane , WA",Eastern Washington,Pittsburgh Steelers,1st season,OT,Rodgers, Jake
35,"Wichita Falls , TX",Texas,,8 Seasons,,Vasher, Nathan
,"Akron , OH",West Virginia Wesleyan,,6 Seasons,,Battles, Cliff
,"Georgetown , MS",U. of Pacific,,10 Seasons,,Bass, Dick
72,"Honolulu , HI",Virginia,,1 Season,,Parker, Don
,"Galveston , TX",Texas,,1 Season,,Magliolo, Joe
42,"Little Rock , AR",Murray State,,3 Seasons,,Hampton, William
47,"Fort Dix , NJ",East Carolina,,1 Season,,Hall, Chris
73,"Bonners Ferry , ID",Idaho,,4 Seasons,,Arndt, Dick
33,"Miami , FL",Auburn,,4 Seasons,,Lee, Pat
,"Battle Creek , MI",No College,,1 Season,,Daniels, Jack
