,Age,Birth_Place,College,Current_Team,Experience,Position,First_Name,Last_Name
290,38.0,"San Jose , CA",Menlo College,,7 Seasons,,Jackson, Nate
291,28.0,"Forth Worth , TX",Oklahoma,,1 Season,,Washington, R.J.
292,72.0,"Vredenburgh , AL",Maryland East. Shore,,2 Seasons,,Denson, Moses
293,73.0,"Brooklyn , NY",Richmond,,1 Season,,Emelianchik, Pete
294,42.0,"Houston , TX",Iowa,,4 Seasons,,Gibson, Damon
295,,"Elmwood , IL",Navy,,5 Seasons,,Roberts, Wooky
296,,,No College,,1 Season,,Pitts, Alabama
297,42.0,"Vancouver , B.C.",Oregon,,2 Seasons,,Sanchez, Davis
298,35.0,"Greenville , MS",Mississippi,,5 Seasons,,Johnson, Marcus
299,47.0,"Nacogdoches , TX",Texas,,5 Seasons,,Jeter, Tommy
300,,,Holy Cross,,1 Season,,Kennedy, Jimmy
301,27.0,,Murray State,,5 Seasons,,Harris, Marcus
302,,"Lake Charles , LA",Tulane,,11 Seasons,,Mason, Tommy
303,41.0,"Birmingham , AL",Alabama-Birmingham,,2 Seasons,,Davis, Pernell
304,,"Amarillo , TX",Texas,,3 Seasons,,Mauldin, Stan
305,,"Benton , IL",Tennessee,,10 Seasons,,Lipscomb, Paul
306,22.0,,Arkansas State,Oakland Raiders,Rookie,DB,Humes, Chris
307,62.0,"Gainesville , FL",Texas Southern,,5 Seasons,,Dean, Fred
308,,"New Orleans , LA",Tulane,,1 Season,,Thibaut, Jim
309,30.0,"Gardena , CA",Utah,,4 Seasons,,Johnson, Robert
310,,"St. Paul , MN",Wisconsin,,1 Season,,Johnson, Farnham
311,40.0,"Honokaa , HI",Hawaii,,2 Seasons,,Noa, Kaulana
312,28.0,"Kansas City , MO",Southern Illinois,,1 Season,,Franklin, Stephen
313,67.0,"Greenwood , MS",USC,,11 Seasons,,Weaver, Charlie
314,,Romania,Pittsburgh,,2 Seasons,,Seidelson, Red
315,43.0,"Winter Haven , FL",Florida,,5 Seasons,,Odom, Jason
316,42.0,"Washington , DC",Colorado,,1 Season,,Savoy, Phil
317,,"Cincinnati , OH",Ohio State,,8 Seasons,,James, Dan
318,44.0,"Tallahassee , FL",Ohio State,,1 Season,,Saunders, Cedric
319,58.0,"Chicago , IL",Colorado,,1 Season,,Niziolek, Bob
320,43.0,"Downey , CA",California,,2 Seasons,,Thure, Brian
321,39.0,"Sulphur Springs , TX",Miami (Fla.),,11 Seasons,,Lewis, Damione
322,,"Randolph , NE",Creighton,,1 Season,,Maillard, Ralph
323,29.0,,Monmouth (N.J.),,1 Season,,Ottaiano, Tom
324,37.0,,Kentucky,,1 Season,,Scaldaferri, Stephen
325,,"Ellwood City , PA",Pittsburgh,,6 Seasons,,MacMurdo, Jim
326,,"Clark , SD",Minnesota,,4 Seasons,,Odson, Urban
327,42.0,"Marrero , LA",Oklahoma,,2 Seasons,,Fazande, Jermaine
328,27.0,"Newbury Park , CA",Louisiana Tech,,1 Season,,Cameron, Colby
329,,"Decatur , NE",Carroll (Wis.),,1 Season,,Quinn, Ivan
330,59.0,"Shawnee , OK",Oklahoma State,,1 Season,,Taylor, Roger
331,58.0,"Arlington Heights , IL",Illinois,,3 Seasons,,Gillen, John
332,26.0,"Batavia , NY",Cornell,Cleveland Browns,5th season,C,Tretter, JC
333,58.0,"Detroit , MI",Michigan,,9 Seasons,,Owens, Mel
334,44.0,"Detroit , MI",Eastern Michigan,,7 Seasons,,Rice, Ron
335,55.0,"Los Angeles , CA",Cal Poly-S.L.O.,,7 Seasons,,Johnson, Damone
336,49.0,"Seattle , WA",Idaho,,2 Seasons,,Carey, Richard
337,25.0,"Phoenix , AZ",Nebraska,Baltimore Ravens,2nd season,OG,Lewis, Alex
338,,"La Crosse , WI",Wisconsin,,4 Seasons,,Temp, Jim
339,37.0,"Philadelphia , PA",Princeton,,9 Seasons,,Norman, Dennis
340,35.0,"Albany , GA",Georgia Tech,Tampa Bay Buccaneers,14th season,OLB,Smith, Daryl
341,44.0,"Miami , FL",Louisville,,1 Season,,Campos, Alan
342,28.0,,Colorado State-Pueblo,,2 Seasons,,Vaughn, Chase
343,27.0,"Vernon , TX",Abilene Christian,Jacksonville Jaguars,4th season,RB,Richardson, Daryl
344,26.0,"Virginia Beach , VA",Delaware,Denver Broncos,4th season,NT,Kerr, Zach
345,,"Mount Carmel , PA",Villanova,,1 Season,,Andrulewicz, Teddy
346,55.0,,Wake Forest,,1 Season,,Campbell, Glen
347,79.0,"Waterloo , IA",New Mexico,,8 Seasons,,Perkins, Don
348,55.0,"Jacksonville , FL",Furman,,6 Seasons,,Gibson, Ernest
349,,"Bronx , NY",Georgetown,,3 Seasons,,Frank, Joe
350,24.0,,Pittsburg State,Atlanta Falcons,Rookie,DB,Washington, Deron
351,,"Crucible , PA",Indiana,,8 Seasons,,Filchock, Frank
